x, f(x), F(x), df/dx
0, 0, 0, 0.993743
0.1, 0.0992221, 0.00496491, 0.989175
0.2, 0.19753, 0.019814, 0.975471
0.3, 0.294012, 0.0444101, 0.95263
0.4, 0.387752, 0.0785249, 0.920653
0.5, 0.477838, 0.121839, 0.879539
0.6, 0.563355, 0.17394, 0.829289
0.7, 0.643391, 0.234327, 0.769903
0.8, 0.717031, 0.302405, 0.70138
0.9, 0.783362, 0.37749, 0.623722
1, 0.841471, 0.458804, 0.536926
1.1, 0.890583, 0.545483, 0.445195
1.2, 0.930485, 0.636613, 0.352726
1.3, 0.961104, 0.73127, 0.25952
1.4, 0.982365, 0.828522, 0.165577
1.5, 0.994195, 0.927429, 0.0708972
1.6, 0.99652, 1.02704, -0.0245196
1.7, 0.989266, 1.12641, -0.120673
1.8, 0.97236, 1.22458, -0.217564
1.9, 0.945729, 1.32056, -0.315192
2, 0.909297, 1.41339, -0.413557
2.1, 0.863144, 1.5021, -0.508119
2.2, 0.807952, 1.58572, -0.594338
2.3, 0.744555, 1.66341, -0.672214
2.4, 0.673787, 1.73439, -0.741748
2.5, 0.596483, 1.79795, -0.802939
2.6, 0.513477, 1.85349, -0.855787
2.7, 0.425604, 1.90049, -0.900292
2.8, 0.333697, 1.93848, -0.936455
2.9, 0.238591, 1.96712, -0.964275
3, 0.14112, 1.98612, -0.983752
3.1, 0.0421418, 1.99529, -0.994187
3.2, -0.0573928, 1.99453, -0.994881
3.3, -0.15651, 1.98383, -0.985833
3.4, -0.254235, 1.96327, -0.967043
3.5, -0.349594, 1.93306, -0.938512
3.6, -0.441612, 1.89347, -0.90024
3.7, -0.529317, 1.84488, -0.852225
3.8, -0.611733, 1.78778, -0.79447
3.9, -0.687886, 1.72274, -0.726972
4, -0.756802, 1.65044, -0.649734
4.1, -0.817633, 1.57165, -0.566512
4.2, -0.870031, 1.4872, -0.481067
4.3, -0.913773, 1.39793, -0.393398
4.4, -0.948636, 1.30474, -0.303505
4.5, -0.974399, 1.20851, -0.211388
4.6, -0.99084, 1.11017, -0.117047
4.7, -0.997735, 1.01066, -0.0204826
4.8, -0.994862, 0.910949, 0.0783057
4.9, -0.981999, 0.812022, 0.179318
5, -0.958924, 0.71489, 0.282554
5.1, -0.925576, 0.620581, 0.383158
5.2, -0.882542, 0.530097, 0.476275
5.3, -0.830571, 0.44437, 0.561906
5.4, -0.770411, 0.364256, 0.640049
5.5, -0.702811, 0.290536, 0.710705
5.6, -0.628519, 0.223917, 0.773874
5.7, -0.548285, 0.16503, 0.829556
5.8, -0.462858, 0.114433, 0.877751
5.9, -0.372985, 0.0726069, 0.918459
6, -0.279415, 0.0399592, 0.95168
6.1, -0.182936, 0.0168211, 0.976277
6.2, -0.0844854, 0.00343767, 0.991114
6.3, 0.0149612, -4.2775e-05, 0.996192
6.4, 0.114428, 0.00643057, 0.99151
6.5, 0.212938, 0.0228109, 0.977068
6.6, 0.309516, 0.0489537, 0.952866
6.7, 0.403186, 0.0846171, 0.918905
6.8, 0.492972, 0.129461, 0.875183
6.9, 0.577897, 0.183049, 0.821702
7, 0.656987, 0.244846, 0.758461
7.1, 0.729341, 0.314222, 0.687775
7.2, 0.794371, 0.39047, 0.611961
7.3, 0.851562, 0.472834, 0.531017
7.4, 0.900403, 0.560504, 0.444944
7.5, 0.94038, 0.65262, 0.353743
7.6, 0.970981, 0.748268, 0.257412
7.7, 0.991692, 0.846486, 0.155952
7.8, 1.002, 0.94626, 0.0493632
7.9, 1.00139, 1.04652, -0.0623546
8, 0.989358, 1.14616, -0.179202
8.1, 0.965667, 1.244, -0.292642
8.2, 0.931228, 1.33893, -0.394142
8.3, 0.887236, 1.42993, -0.483701
8.4, 0.834886, 1.5161, -0.561318
8.5, 0.775371, 1.59667, -0.626995
8.6, 0.709885, 1.67098, -0.68073
8.7, 0.639623, 1.73849, -0.722524
8.8, 0.565778, 1.79878, -0.752377
8.9, 0.489545, 1.85156, -0.770288
9, 0.412118, 1.89665, -0.776259
