x, f(x), F(x)
0, 1, 0
0.1, 0.95403, 0.0770151
0.2, 0.90806, 0.15403
0.3, 0.862091, 0.231045
0.4, 0.816121, 0.30806
0.5, 0.770151, 0.385076
0.6, 0.724181, 0.462091
0.7, 0.678212, 0.539106
0.8, 0.632242, 0.616121
0.9, 0.586272, 0.693136
1, 0.540302, 0.770151
1.1, 0.444657, 0.776359
1.2, 0.349012, 0.782567
1.3, 0.253368, 0.788774
1.4, 0.157723, 0.794982
1.5, 0.0620777, 0.80119
1.6, -0.0335672, 0.807398
1.7, -0.129212, 0.813606
1.8, -0.224857, 0.819813
1.9, -0.320502, 0.826021
2, -0.416147, 0.832229
2.1, -0.473531, 0.761922
2.2, -0.530916, 0.691615
2.3, -0.588301, 0.621308
2.4, -0.645685, 0.551001
2.5, -0.70307, 0.480694
2.6, -0.760454, 0.410387
2.7, -0.817839, 0.34008
2.8, -0.875223, 0.269773
2.9, -0.932608, 0.199466
3, -0.989992, 0.129159
3.1, -0.956358, 0.0469774
3.2, -0.922723, -0.0352044
3.3, -0.889088, -0.117386
3.4, -0.855453, -0.199568
3.5, -0.821818, -0.28175
3.6, -0.788183, -0.363932
3.7, -0.754548, -0.446113
3.8, -0.720913, -0.528295
3.9, -0.687279, -0.610477
4, -0.653644, -0.692659
4.1, -0.559913, -0.711158
4.2, -0.466182, -0.729657
4.3, -0.372452, -0.748156
4.4, -0.278721, -0.766655
4.5, -0.184991, -0.785154
4.6, -0.0912601, -0.803653
4.7, 0.00247044, -0.822152
4.8, 0.096201, -0.840651
4.9, 0.189932, -0.85915
5, 0.283662, -0.87765
5.1, 0.351313, -0.815458
5.2, 0.418964, -0.753266
5.3, 0.486615, -0.691075
5.4, 0.554265, -0.628883
5.5, 0.621916, -0.566691
5.6, 0.689567, -0.5045
5.7, 0.757218, -0.442308
5.8, 0.824869, -0.380117
5.9, 0.892519, -0.317925
6, 0.96017, -0.255733
6.1, 0.939543, -0.17003
6.2, 0.918917, -0.0843261
6.3, 0.89829, 0.00137756
6.4, 0.877663, 0.0870812
6.5, 0.857036, 0.172785
6.6, 0.836409, 0.258488
6.7, 0.815783, 0.344192
6.8, 0.795156, 0.429896
6.9, 0.774529, 0.515599
7, 0.753902, 0.601303
7.1, 0.663962, 0.631723
7.2, 0.574022, 0.662143
7.3, 0.484082, 0.692563
7.4, 0.394141, 0.722983
7.5, 0.304201, 0.753404
7.6, 0.214261, 0.783824
7.7, 0.124321, 0.814244
7.8, 0.0343804, 0.844664
7.9, -0.0555598, 0.875084
8, -0.1455, 0.905504
8.1, -0.222063, 0.852673
8.2, -0.298626, 0.799841
8.3, -0.375189, 0.74701
8.4, -0.451752, 0.694178
8.5, -0.528315, 0.641346
8.6, -0.604878, 0.588515
8.7, -0.681441, 0.535683
8.8, -0.758004, 0.482852
8.9, -0.834567, 0.43002
9, -0.91113, 0.377189
